RM,Oats_mean,Oats_std,Clusters_4,Clusters_6
309,85.04299999999998,25.140359269718612,2,4
31,66.90700000000001,13.492124057350921,1,2
310,72.85052631578948,24.696757428564993,2,4
312,69.58500000000001,20.899057772767502,2,2
313,61.92733333333332,20.93969383957746,1,5
314,51.6115,15.987387224407806,3,5
315,54.01875000000001,24.04023790093046,1,5
316,55.61181818181817,19.901615420956066,1,5
317,58.23549999999999,17.50837528156168,1,5
318,57.97588235294118,20.71520005298752,1,5
319,53.76666666666667,9.619702005086575,3,5
32,71.04526315789474,11.815521979545501,2,2
320,47.21111111111111,22.585971555616357,3,0
321,44.47538461538462,17.884160876496562,3,0
322,54.86818181818182,18.970744222713993,1,5
33,67.129,14.910634460008739,1,2
331,79.23,16.292249691187525,2,4
333,96.63642857142858,19.863641933923414,0,1
334,101.50750000000001,23.31182281364409,0,3
335,85.72600000000001,22.196053086789526,2,4
336,89.2515,18.175422756250292,0,1
337,88.021,21.422520589815118,0,1
338,99.642,26.031514625242437,0,3
339,76.39200000000001,19.45690801421655,2,4
34,64.1235,20.885680129545317,1,2
340,76.7415,20.041167177639764,2,4
341,70.84899999999999,21.205524329883076,2,2
342,80.82444444444445,20.45325983574493,2,4
343,77.808,20.495232462312075,2,4
344,67.29950000000001,19.562541131619785,1,2
345,70.40350000000001,21.11696182169555,2,2
346,67.76277777777779,15.523995773358154,1,2
347,53.33631578947368,16.032659448945083,3,5
349,61.959166666666654,31.579449721250203,1,5
35,55.294615384615376,24.078245927041216,1,5
350,64.80909090909091,20.112158240499923,1,2
351,76.41294117647058,26.4188776646326,2,4
352,57.57631578947369,14.670378397954883,1,5
36,49.50352941176471,16.682364168927194,3,0
366,94.91749999999999,18.918337212734556,0,1
367,96.68,24.443096323803516,0,1
368,100.6285,27.623813768291715,0,3
369,106.0685,24.697970995929794,0,3
37,42.864117647058826,12.039856238148946,3,0
370,91.48300000000002,23.15770761766508,0,1
371,77.966,17.026870528667327,2,4
372,68.52599999999998,17.06960345483348,1,2
373,77.66,24.754469181229563,2,4
376,57.492631578947375,16.71893266200702,1,5
377,55.49222222222222,14.704338117614277,1,5
378,61.00684210526315,19.06685316127662,1,5
379,63.1535294117647,21.08180700899963,1,2
38,45.217058823529406,11.80818030260478,3,0
380,79.0,27.42444165338649,2,4
381,66.005625,23.174244315259415,1,2
382,60.126842105263165,13.858928951975562,1,5
39,49.89923076923076,13.035522276673117,3,0
394,90.64699999999999,18.551295060481696,0,1
395,89.34700000000001,23.95511880250452,0,1
397,91.314,22.767607969033083,0,1
398,97.7875,27.3368936892791,0,1
399,92.845,28.27041516646352,0,1
4,53.1935294117647,18.30649029073312,3,5
40,41.328125,25.549401876560633,3,0
